id,lat_s,lat_e,lon_s,lon_e
"1",38.66762913,38.66772137,141.44878200,141.44989550
"1",38.66737269,38.66742892,141.44881130,141.44990680
"1",38.66712749,38.66714773,141.44886300,141.44996080
"1",38.66678331,38.66683730,141.44901370,141.45003950
"1",38.66650436,38.66659434,141.44903170,141.45015200
"1",38.66624342,38.66634240,141.44921170,141.45028700
"1",38.66605445,38.66610394,141.44923420,141.45039040
"1",38.66576201,38.66584750,141.44932870,141.45046240
"1",38.66531660,38.66534810,141.44949060,141.45063340
"1",38.66497467,38.66505116,141.44981460,141.45072340
"1",38.66475422,38.66484420,141.44975160,141.45075940
"1",38.66452477,38.66462825,141.44990450,141.45085390
"1",38.66431781,38.66439879,141.44992700,141.45094830
"1",38.66410185,38.66408386,141.44992250,141.45107880
"1",38.66763363,38.66770562,141.45041290,141.45151970
"1",38.66732770,38.66744017,141.45063790,141.45174020
"1",38.66709374,38.66713873,141.45065140,141.45179870
"1",38.66677881,38.66682830,141.45092130,141.45204610
"1",38.66652686,38.66657635,141.45097080,141.45202360
"1",38.66622542,38.66633790,141.45094830,141.45204160
"1",38.66598697,38.66606795,141.45107430,141.45219460
"1",38.66530311,38.66532560,141.45126780,141.45240830
"1",38.66504666,38.66508490,141.45130380,141.45235650
"1",38.66474522,38.66480821,141.45135770,141.45240150
"1",38.66448652,38.66454726,141.45134870,141.45250280
"1",38.66426607,38.66427507,141.45139370,141.45252530
"1",38.66583400,38.66594198,141.45280200,141.45393570
"1",38.66555506,38.66562254,141.45289190,141.45404370
"1",38.66522662,38.66533010,141.45292340,141.45398970
"1",38.66495218,38.66508265,141.45304490,141.45412020
"1",38.66469573,38.66486220,141.45307190,141.45417420
"1",38.66449777,38.66458325,141.45315740,141.45427770
"1",38.66422108,38.66434255,141.45317310,141.45427540
"1",38.66396913,38.66408611,141.45333060,141.45441040
"1",38.66372168,38.66383416,141.45340260,141.45444190
"1",38.66347873,38.66359571,141.45344760,141.45459480
"1",38.66330326,38.66336625,141.45349030,141.45450260
"1",38.66309181,38.66317279,141.45355780,141.45467810
"1",38.66284436,38.66295234,141.45367030,141.45476360
"1",38.66256542,38.66266440,141.45376030,141.45486250
"1",38.66230222,38.66239670,141.45385920,141.45494800
"1",38.66205927,38.66212675,141.45441260,141.45499750
"1",38.66174883,38.66186581,141.45394470,141.45504250
"1",38.66147439,38.66159586,141.45391320,141.45504250
"1",38.66118645,38.66132142,141.45414720,141.45533940
"1",38.66090300,38.66103798,141.45423270,141.45534840
"1",38.66061506,38.66078153,141.45424170,141.45538890
"1",38.66381391,38.66389040,141.45515050,141.45632470
"1",38.66357996,38.66367444,141.45525850,141.45640120
"1",38.66334601,38.66342249,141.45534840,141.45650920
"1",38.66304457,38.66311655,141.45537540,141.45651820
"1",38.66278812,38.66290960,141.45539790,141.45651370
"1",38.66258116,38.66263965,141.45548790,141.45657220
"1",38.66224823,38.66234271,141.45551040,141.45659920
"1",38.66200078,38.66214025,141.45555540,141.45671620
"1",38.66173533,38.66192879,141.45567240,141.45675210
"1",38.66149238,38.66165885,141.45575340,141.45682410
"1",38.66125393,38.66144289,141.45578930,141.45682860
"1",38.66097949,38.66115945,141.45577580,141.45685110
"1",38.66071404,38.66088051,141.45590860,141.45706030
"1",38.66047109,38.66060606,141.45596260,141.45705580
"1",38.66020115,38.66035861,141.45594460,141.45701080
"1",38.66002568,38.66018315,141.45609300,141.45710530
"1",38.65976474,38.65990871,141.45608850,141.45719530
"1",38.66004818,38.66020565,141.45442390,141.45545870
"1",38.65949479,38.65963201,141.45465110,141.45574890
"1",38.65922260,38.65935757,141.45468030,141.45580280
"1",38.65891666,38.65906963,141.45472310,141.45585010
"1",38.65841051,38.65848700,141.45481530,141.45597160
"1",38.65812257,38.65817881,141.45490080,141.45600980
"1",38.65785263,38.65792236,141.45490530,141.45607950
"1",38.65757368,38.65768166,141.45495930,141.45608400
"1",38.65949704,38.65963201,141.45620780,141.45728300
"1",38.65924509,38.65936207,141.45626170,141.45738200
"1",38.65903363,38.65910562,141.45639670,141.45747650
"1",38.65877719,38.65887167,141.45642820,141.45749900
"1",38.65859272,38.65864221,141.45654070,141.45758000
"1",38.65835877,38.65843526,141.45664870,141.45748550
"1",38.65807983,38.65817881,141.45656320,141.45748550
"1",38.65784588,38.65793136,141.45658570,141.45772400
"1",38.65759843,38.65768841,141.45656770,141.45770600
"1",38.65740497,38.65744546,141.45646420,141.45762050
"1",38.65715302,38.65721151,141.45658570,141.45774190
"1",38.65698205,38.65703154,141.45668920,141.45774640
"1",38.65469652,38.65485848,141.45088080,141.45174470
"1",38.65451206,38.65471901,141.45086730,141.45183470
"1",38.65437708,38.65457504,141.45097980,141.45187060
"1",38.65422411,38.65445807,141.45105180,141.45190660
"1",38.65412064,38.65432309,141.45115080,141.45195610
"1",38.65402166,38.65421062,141.45123630,141.45196060
"1",38.65506094,38.65515093,141.45228910,141.45322040
"1",38.65487648,38.65502045,141.45233400,141.45316640
"1",38.65475950,38.65492147,141.45239700,141.45327890
"1",38.65465153,38.65481799,141.45251400,141.45337780
"1",38.65454805,38.65470102,141.45258600,141.45346780
"1",38.65440408,38.65459304,141.45259950,141.45353530
"1",38.65421062,38.65440858,141.45269850,141.45359380
"1",38.65560533,38.65580779,141.45381870,141.45466010
"1",38.65549286,38.65567732,141.45378730,141.45468710
"1",38.65536238,38.65553785,141.45385470,141.45469160
"1",38.65527015,38.65544337,141.45396050,141.45481080
"1",38.65514193,38.65530839,141.45397850,141.45481530
"1",38.65500021,38.65516667,141.45393350,141.45479050
"1",38.65485848,38.65499346,141.45400770,141.45494580
"1",38.65466952,38.65482699,141.45403470,141.45486250
"1",38.65446481,38.65461104,141.45413370,141.45499750
"1",38.65605974,38.65623520,141.45658120,141.45779590
"1",38.65581679,38.65598775,141.45669820,141.45789040
"1",38.65553335,38.65573581,141.45687360,141.45797140
"1",38.65530389,38.65550635,141.45693660,141.45803440
"1",38.65510144,38.65528590,141.45699510,141.45817840
"1",38.65485848,38.65501145,141.45709860,141.45824130
"2",38.64954507,38.64988025,141.44679340,141.44790250
"2",38.64927062,38.64960580,141.44673940,141.44786420
"2",38.64857326,38.64896918,141.44707910,141.44822640
"2",38.64841580,38.64875098,141.44718260,141.44827810
"2",38.64773644,38.64795464,141.44740530,141.44866280
"2",38.64750248,38.64776793,141.44749980,141.44866950
"1",38.65201056,38.65225801,141.44933540,141.45047370
"1",38.65158315,38.65169563,141.44941640,141.45057270
"1",38.65118273,38.65129521,141.44952890,141.45064460
"1",38.65083180,38.65098477,141.44958740,141.45072560
"1",38.65038190,38.65053037,141.44967280,141.45077060
"1",38.64998598,38.65009845,141.44970430,141.45073460
"1",38.64963505,38.64977002,141.44989780,141.45085160
"1",38.64930212,38.64945059,141.44992480,141.45102710
"1",38.64885671,38.64899618,141.44990230,141.45103160
"1",38.64853727,38.64864525,141.45007330,141.45117100
"1",38.64804687,38.64815935,141.45008230,141.45124750
"1",38.64771394,38.64783991,141.45015420,141.45130150
"1",38.64734501,38.64752498,141.45033870,141.45137350
"1",38.64700084,38.64726853,141.45034770,141.45134430
"1",38.65232325,38.65251221,141.45140270,141.45252750
"1",38.65196332,38.65207130,141.45154670,141.45267150
"1",38.65155841,38.65170238,141.45168170,141.45272550
"1",38.65123447,38.65133345,141.45160070,141.45276150
"1",38.65079356,38.65088354,141.45172670,141.45286040
"1",38.65037965,38.65054161,141.45172670,141.45295940
"1",38.65009171,38.65024467,141.45186160,141.45295940
"1",38.64971378,38.64993874,141.45198760,141.45306740
"1",38.64933586,38.64952482,141.45208660,141.45315740
"1",38.64895794,38.64918289,141.45208660,141.45323840
"1",38.64853952,38.64876897,141.45215410,141.45326540
"1",38.64819309,38.64843604,141.45224860,141.45333280
"1",38.64786916,38.64803562,141.45236100,141.45343630
"1",38.64752723,38.64770719,141.45236100,141.45344080
"1",38.64713581,38.64733827,141.45241050,141.45357130
"1",38.65272367,38.65294862,141.45338680,141.45443060
"1",38.65231875,38.65258420,141.45347680,141.45452960
"1",38.65193183,38.65217478,141.45358030,141.45455210
"1",38.65154941,38.65181036,141.45354430,141.45465560
"1",38.65112649,38.65140094,141.45369730,141.45476810
"1",38.65076207,38.65106351,141.45362530,141.45488500
"1",38.65036165,38.65064059,141.45390870,141.45489850
"1",38.64995223,38.65029866,141.45397620,141.45501550
"1",38.64952932,38.64984426,141.45403470,141.45507400
"1",38.64914690,38.64948433,141.45411570,141.45520000
"1",38.64878247,38.64908391,141.45439910,141.45546990
"1",38.64838205,38.64870599,141.45426420,141.45537540
"1",38.64804462,38.64832806,141.45441710,141.45550140
"1",38.64763521,38.64784666,141.45435860,141.45561390
"1",38.64726628,38.64750923,141.45453410,141.45564090
"1",38.64693785,38.64700983,141.45478160,141.45587480
"1",38.64679163,38.64682312,141.45478160,141.45602550
"1",38.64667015,38.64666340,141.45475460,141.45589960
"1",38.64645645,38.64650819,141.45483100,141.45605930
"1",38.64632597,38.64634622,141.45479500,141.45605930
"1",38.64616401,38.64608527,141.45483330,141.45602780
"1",38.64548014,38.64542391,141.45466230,141.45594230
"1",38.64526194,38.64521020,141.45475460,141.45594910
"1",38.64446560,38.64445210,141.45468930,141.45576910
"1",38.65300486,38.65317583,141.45546320,141.45648450
"1",38.65267643,38.65283390,141.45544070,141.45664190
"1",38.65224002,38.65243348,141.45556210,141.45660590
"1",38.65188009,38.65207805,141.45561610,141.45664640
"1",38.65147067,38.65174512,141.45573310,141.45680840
"1",38.65107026,38.65135820,141.45573310,141.45679490
"1",38.65069233,38.65100277,141.45582760,141.45694790
"1",38.65035490,38.65065184,141.45600310,141.45703330
"1",38.64993649,38.65022443,141.45610200,141.45713680
"1",38.64952257,38.64973403,141.45622350,141.45728080
"1",38.64910416,38.64932911,141.45621900,141.45733480
"1",38.64867674,38.64891969,141.45634950,141.45733030
"1",38.64838880,38.64855527,141.45645300,141.45748770
"1",38.64794339,38.64823133,141.45646650,141.45753720
"1",38.64760146,38.64783092,141.45660590,141.45761370
"1",38.64723254,38.64745749,141.45667790,141.45772620
"1",38.64677813,38.64689961,141.45681290,141.45786570
"1",38.64635972,38.64662066,141.45688040,141.45792870
"1",38.65321182,38.65336479,141.45738880,141.45851800
"1",38.65284739,38.65304085,141.45753270,141.45865300
"1",38.65251446,38.65275741,141.45779370,141.45882850
"1",38.65207355,38.65227601,141.45781620,141.45890500
"1",38.65164614,38.65189809,141.45780270,141.45886450
"1",38.65136720,38.65160565,141.45796920,141.45902640
"1",38.65098477,38.65121873,141.45805010,141.45906690
"1",38.65062485,38.65084980,141.45822110,141.45927390
"1",38.65018844,38.65039989,141.45827060,141.45932340
"1",38.64981951,38.65005346,141.45832460,141.45930990
"1",38.64940110,38.64961255,141.45846410,141.45954380
"1",38.64897818,38.64921663,141.45841460,141.45949880
"1",38.64867224,38.64884771,141.45857200,141.45959780
"1",38.64836631,38.64853277,141.45859450,141.45970130
"1",38.64808736,38.64811436,141.45871150,141.45976880
"1",38.64754747,38.64779042,141.45874750,141.45987230
"1",38.64723704,38.64739900,141.45881050,141.45986780
"1",38.65363023,38.65390018,141.45929190,141.46056060
"1",38.65346152,38.65378545,141.45934590,141.46078780
"1",38.65321632,38.65356950,141.45956410,141.46076080
"1",38.65307235,38.65340303,141.45962030,141.46075180
"1",38.65281365,38.65319157,141.45974630,141.46083510
"1",38.65260444,38.65302961,141.45966980,141.46085760
"1",38.65232550,38.65269668,141.45978900,141.46096100
"1",38.65172354,38.65181477,141.45999420,141.46129290
"1",38.65111981,38.65124592,141.46019550,141.46139760
"1",38.65093734,38.65102052,141.46034310,141.46152640
"1",38.65078708,38.65087831,141.46050140,141.46153440
"1",38.65064755,38.65073610,141.46042620,141.46159350
"1",38.65043021,38.65050266,141.46044500,141.46167930
"1",38.65005455,38.65015115,141.46061140,141.46182420
"1",38.65399625,38.65421091,141.46151560,141.46266410
"1",38.65361523,38.65393990,141.46150760,141.46268820
"1",38.65334959,38.65356693,141.46166320,141.46277680
"1",38.65298735,38.65322079,141.46173830,141.46280900
"1",38.65266536,38.65284245,141.46180270,141.46301830
"1",38.65238093,38.65254461,141.46206840,141.46310410
"1",38.65200796,38.65214749,141.46222670,141.46324900
"1",38.65158937,38.65172085,141.46216770,141.46317660
"1",38.65118689,38.65136935,141.46219180,141.46331070
"1",38.65088502,38.65104602,141.46227230,141.46343680
"1",38.65049863,38.65069451,141.46234740,141.46342610
"1",38.65018469,38.65036447,141.46236890,141.46350120
"1",38.65722018,38.65734361,141.45999960,141.46110510
"1",38.65689551,38.65706724,141.46009350,141.46117750
"1",38.65665133,38.65683111,141.46019010,141.46121510
"1",38.65629714,38.65643667,141.46007740,141.46127150
"1",38.65606907,38.65618445,141.46030550,141.46137340
"1",38.65583831,38.65598589,141.46031890,141.46143780
"1",38.65567194,38.65581416,141.46034840,141.46151300
"1",38.65542240,38.65558876,141.46042890,141.46149690
"1",38.65972634,38.65985245,141.46263720,141.46375350
"1",38.65943387,38.65956535,141.46275800,141.46383670
"1",38.65915481,38.65927287,141.46282770,141.46396540
"1",38.65883013,38.65899918,141.46284120,141.46392250
"1",38.65859937,38.65875769,141.46288950,141.46396810
"1",38.65835788,38.65849741,141.46311220,141.46410500
"1",38.65812444,38.65824250,141.46321950,141.46399500
"1",38.65780513,38.65797954,141.46310410,141.46415600
"1",38.65755827,38.65774073,141.46307190,141.46418010
"1",38.65731678,38.65744558,141.46301020,141.46410770
