id,lat_s,lat_e,lon_s,lon_e
"1",4279989.61800000,4280000.32700000,539042.06700000,539138.88890000
"1",4279961.17400000,4279967.88100000,539044.75040000,539140.02660000
"1",4279933.98700000,4279936.70200000,539049.38470000,539144.87650000
"1",4279895.85900000,4279902.28800000,539062.68380000,539151.89520000
"1",4279864.91400000,4279875.37600000,539064.40100000,539161.81270000
"1",4279836.03400000,4279847.47600000,539080.19920000,539173.69220000
"1",4279815.07600000,4279821.06100000,539082.25890000,539182.82460000
"1",4279782.66500000,4279792.63500000,539090.63760000,539189.22690000
"1",4279733.30900000,4279737.29200000,539104.97070000,539204.37290000
"1",4279695.50500000,4279704.38000000,539133.33860000,539212.36310000
"1",4279671.01500000,4279681.43000000,539127.97880000,539215.60730000
"1",4279645.61900000,4279657.50700000,539141.41190000,539223.94490000
"1",4279622.66300000,4279632.08600000,539143.48170000,539232.28990000
"1",4279598.69800000,4279597.19500000,539143.20780000,539243.81300000
"1",4279990.81300000,4279999.27400000,539183.94790000,539280.19350000
"1",4279956.96100000,4279969.91400000,539203.68480000,539299.51730000
"1",4279931.00600000,4279936.48900000,539204.98660000,539304.77040000
"1",4279896.17400000,4279902.14800000,539228.64280000,539326.46740000
"1",4279868.23800000,4279874.18000000,539233.08570000,539324.64820000
"1",4279834.77900000,4279847.72800000,539231.29320000,539326.34430000
"1",4279808.37300000,4279817.83900000,539242.38280000,539339.79990000
"1",4279732.57100000,4279735.55600000,539259.58690000,539358.79830000
"1",4279704.12900000,4279708.82400000,539262.85830000,539354.42880000
"1",4279670.70300000,4279678.14000000,539267.71990000,539358.49440000
"1",4279641.99300000,4279649.22700000,539267.07840000,539367.44420000
"1",4279617.54900000,4279619.03300000,539271.11300000,539369.55030000
"1",4279792.13900000,4279804.60900000,539392.76860000,539491.34510000
"1",4279761.22500000,4279769.20900000,539400.74970000,539500.91450000
"1",4279724.79400000,4279736.73500000,539403.66960000,539496.37820000
"1",4279694.39200000,4279709.33300000,539414.38820000,539507.86520000
"1",4279665.94700000,4279684.89300000,539416.87730000,539512.68330000
"1",4279644.01700000,4279653.98500000,539424.42280000,539521.83920000
"1",4279613.32000000,4279627.27400000,539425.94450000,539521.77580000
"1",4279585.43000000,4279598.87600000,539439.78240000,539533.65950000
"1",4279558.00300000,4279570.93200000,539446.18090000,539536.53790000
"1",4279531.06300000,4279544.53800000,539450.22850000,539549.97750000
"1",4279511.61100000,4279519.03700000,539454.04330000,539542.07950000
"1",4279488.17600000,4279497.64500000,539460.03070000,539557.45150000
"1",4279460.76600000,4279473.21900000,539469.95220000,539565.00990000
"1",4279429.85200000,4279441.31000000,539477.93390000,539573.77980000
"1",4279400.68800000,4279411.64200000,539486.68990000,539581.36430000
"1",4279373.96800000,4279381.70900000,539534.96960000,539585.81870000
"1",4279339.31800000,4279352.77200000,539494.43110000,539589.87670000
"1",4279308.85100000,4279322.81700000,539491.84180000,539590.02530000
"1",4279277.00000000,4279292.49200000,539512.35460000,539616.01120000
"1",4279245.58500000,4279261.04300000,539519.94770000,539616.95020000
"1",4279213.63700000,4279232.60400000,539520.88890000,539620.61450000
"1",4279568.99100000,4279577.98600000,539598.19820000,539700.31740000
"1",4279543.07700000,4279554.05500000,539607.72120000,539707.09090000
"1",4279517.15500000,4279526.14400000,539615.67860000,539716.62420000
