id,lat_c,lon_c,area_aq
5,4278592.675,540538.054,127.508
5,4278598.982,540556.282,283.241
5,4278605.174,540578.160,128.109
5,4278608.594,540593.840,130.650
5,4278611.898,540613.633,280.944
5,4278546.057,540551.537,128.512
5,4278555.292,540571.540,296.734
5,4278560.217,540591.047,128.120
5,4278563.868,540607.226,126.143
5,4278567.534,540627.692,275.934
5,4278611.150,540775.308,295.250
5,4278619.437,540824.664,297.103
5,4278561.479,540776.069,292.237
5,4278565.970,540826.965,288.773
5,4278669.342,540961.594,291.275
5,4278672.144,541008.738,291.907
5,4278620.867,541007.721,303.337
5,4278616.104,540961.150,289.545
5,4278699.195,541154.356,290.500
5,4278698.288,541206.570,294.778
5,4278639.920,541156.376,307.839
5,4278646.576,541208.202,292.580
5,4278707.928,541333.294,287.790
5,4278713.689,541381.248,292.374
5,4278657.266,541330.610,282.231
5,4278661.583,541378.739,288.933
5,4278728.339,541507.210,285.365
5,4278732.983,541551.937,271.716
5,4278670.295,541508.977,289.157
5,4278670.940,541558.334,298.691
5,4278792.358,541674.514,279.761
5,4278796.804,541725.644,285.689
5,4278732.930,541677.039,286.873
5,4278738.283,541729.849,289.928
5,4281681.179,543753.172,291.228
5,4281735.354,543830.144,275.424
5,4281756.071,543865.083,276.686
5,4281907.037,543647.413,62.883
5,4281913.224,543687.934,172.683
5,4281932.654,543718.568,63.290
5,4281941.728,543761.987,131.874
5,4281958.469,543798.531,65.733
5,4281934.552,543806.884,54.982
5,4281911.292,543813.912,77.545
5,4281896.184,543779.292,152.972
5,4281903.806,543731.708,166.493
5,4281888.302,543697.163,67.852
5,4281858.501,543662.526,174.721
5,4281862.892,543706.077,152.728
5,4281870.151,543745.307,184.332
5,4280835.396,543524.953,287.246
5,4280887.800,543532.284,287.570
5,4280935.630,543543.022,274.534
5,4280927.604,543592.157,284.473
5,4280878.820,543584.848,294.495
5,4280817.361,543575.874,285.781
5,4280911.973,543728.222,283.089
5,4280897.633,543779.520,274.617
5,4280867.128,543724.987,296.451
5,4280852.150,543768.077,291.971
5,4280807.766,543712.369,289.854
5,4280796.424,543751.136,284.315
5,4281781.750,543699.706,47.407
5,4281799.615,543762.294,36.899
5,4281819.762,543819.658,65.734
5,4280780.646,543476.606,178.899
5,4280766.541,543529.409,194.704
5,4280736.507,543467.987,196.822
5,4280731.939,543498.646,65.417
5,4280719.390,543526.154,170.917
5,4279123.558,541014.465,300.672
5,4279129.276,541053.515,316.027
5,4279081.358,541055.099,299.242
5,4279156.795,541197.039,278.452
5,4279167.150,541243.321,301.586
5,4279111.153,541208.146,325.257
5,4279118.586,541249.422,312.766
5,4279126.024,541271.230,65.243
5,4279114.576,541276.723,53.501
